tipo de material,codigo,nombre,pkg
TERMINAL,TAP45EC288SN,1241396-1,3500
TERMINAL,TAP45JPT04SN,927768-3,3300
TERMINAL,TAP45JPT08AG,929937-6,3700
TERMINAL,TAP45MC282SN,1-968851-1,3500
TERMINAL,TAP45MC632SN,1241404-1,2000
TERMINAL,TAP45MCP01SN,2-964296-1,3300
TERMINAL,TAP45MCP02SN,1241390-1,3500
TERMINAL,TAP45MCPE2SN,1743163-1,2500
TERMINAL,TAP45MCPE6SN,936606-1,3000
TERMINAL,TAP45RT010SN,130106,1000
TERMINAL,TAP45RTR10SN,2-130106-1,5000
TERMINAL,TAP45SPT21SN,964306-1,1700
TERMINAL,TAP45SPT22SN,927833-2,2000
TERMINAL,TAP5509022SN,368083-1,4000
TERMINAL,TAP5509032SN,1743656-1,4000
TERMINAL,TAP55250F2SN,2300892-1,3000
TERMINAL,TAP55MCP06SN,1-968857-1,4000
TERMINAL,TAP55MCPE1SN,1743425-1,2500
TERMINAL,TAP5609032SN,1897598-1,4000
TERMINAL,TAP56187F2SN,1897539-1,4000
TERMINAL,TAP5625001SN,170341-3,4000
TERMINAL,TAP56250F2SN,1897661-1,3000
TERMINAL,TAP56PLM12BR,170258-1,3726
TERMINAL,TAP5728001AG,2-2141600-2,2700
TERMINAL,TAP6625002SN,927829-2,2200
TERMINAL,TAP66ABS22SN,928966-2,1500
TERMINAL,TAP66MC632SN,1241406-1,2000
TERMINAL,TAP66MC636SN,1241416-1,1500
TERMINAL,TAP66MCPE2SN,1743465-1,2500
TERMINAL,TAP66SPT21SN,964308-1,1700
TERMINAL,TAP66SPT22SN,927824-2,2000
TERMINAL,TAP67PLM12SN,170234-2,6000
TERMINAL,TAP67PLM22BR,170456-1,3000
TERMINAL,TAP67PLM22SN,170456-2,3000
TERMINAL,TAP67RNG30SN,130191,1000
TERMINAL,TAP67RT300SN,2-35772-1,2500
TERMINAL,TAP77ABS22SN,1241962-1,1500
TERMINAL,TAP77MC632SN,1241408-1,1700
TERMINAL,TAP78MC636SN,1241418-4,1500
TERMINAL,TAPMM020K2SN,2219299-1,17000
TERMINAL,TAPMM02532SN,2005097-1,10000
TERMINAL,TAPMM02541SN,2005098-1,10000
TERMINAL,TAPMM02552SN,2188446-1,10000
TERMINAL,TAPMM04032SN,1717172-1,6000
TERMINAL,TAPMM09021SN,1897752-1,6000
TERMINAL,TAPMM09032SN,1897753-1,5000
TERMINAL,TAPMM64Y01SN,1924968-7,10000
TERMINAL,TAPMMABG12SN,1355717-1,13000
TERMINAL,TBS12BCB08SN,1 928 492 555,11000
TERMINAL,TBS33BCB08SN,1 928 492 556,11000
COMPONENTES,TCHAA59300SN,CBR619-012,1500
COMPONENTES,TCHAB2T020SN,CBR654-012,1200
COMPONENTES,TCHAB50800SN,CBR508-012,2000
COMPONENTES,TCHBC1Y000SN,CBK074-012,700
COMPONENTES,TCHBC1Y010SN,CBR693-022,1200
